Regex,Attempt Regex,DeepSeek Output
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)|(1001010)|(1001111)|(1001100),"positive example:[1010111, 000111, 00010, 1010010, 100011, 111000, 10011, 111, 1001111, 010011, 1011011, 0001, 111101, 00100, 011100, 000010, 1010100, 000100, 110100, 10101, 111011, 11010, 10000, 100, 010101, 1001001, 010000, 001011, 01, 01110, 010, 1011, 11100, 00111, 100110, 110111, 1101, 10110, 010110, 001000, 01000, 101010, 10, 101111, 001101, 0100, 1011110, 110010, 11111, 1000, 00001, 011001, 1010001, 011010, 000001, 100000, 110001, 111110, 001, 1001100, 0010, 001110, 01101, 01011, 101100, 1011000, 0111, 1011101, 1001010, 1110, 11001, 100101, 011111, 1],negative example:[0]"
(a|(b*bb))*,(a+(bb))*a*(a+(bb))*,"positive example:["""", ""aa"", ""abba"", ""abbabba""], negative example:[""a"", ""bb"", ""aba"", ""abab""]"
(a|b)(a|b)+aaa+,((aa|bb|ab|ba)+aaa),"positive example:[bbaaa, abaaaaa, baaaa, aaabbabbaaa],negative example:[aaaa,aaa]"
(0*10*10*)*|0*,(11)*|0*(11)*|(11)*0*|0*|(10*1)*,"positive example: [10111, 111100, 101, 001111], negative example: [11011, 1, 0110]"
(a|b)(a|b)+aaa+,((a|b)(a|b))+(aaa)+,"positive example:[aaaaa, aabbaaaaaa], negative example:[aaaaaa]"
(a|(b*bb))*,(a)*(b*bbb*)*(a)*(b*bbb*)*,"positive example:[, aabbaa], negative example:[b, bbabba]"
(0*10*10*)*|0*,(0*(11)*0*0*)*,"positive example:["""", ""0"", ""11"", ""0011"", ""1100"", ""000"", ""11011"", ""001100""], negative example:[""1"", ""01"", ""10"", ""011"", ""110"", ""101"", ""0110"", ""1101""]"
(a|b)*baa(a|b)*b,(baa)(baa)*(b),"positive example:[baab, baabaabaab], negative example:[baa, b, baaba, baabaa]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000),"positive example:[00010, 1101, 10110, 10011, 111, 01000, 10, 0100, 0001, 11111, 1000, 00100, 00001, 10101, 11010, 10000, 100, 001, 0010, 01101, 01, 01011, 01110, 0111, 010, 1110, 1011, 11100, 11001, 00111, 1],negative example:[0]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1|1+(0|1)+1|0+(0|1)0+,"positive example:[111, , 00, 010, 1011, 1], negative example:[01,11,10,01010]"
(a|(b*bb))*,(a)*(bb+ab+b)*(bb+ba+a)*(bb)*,"positive example: [bbbaa, bbabbbbabbb, aabbbabbbbbaabbbaabb, abbbbaaabbbb], negative example: [aab, bbaab, ababab, bbaaab]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1),"positive example:[10, 01, 00, 11], negative example:[0, 1, 000, 111, 0101]"
(b|(a*aa))*,(b*(aaa*)b*)*,"positive example:[, aabaaa], negative example:[b, aaab, abab]"
(ab|ba)*,(ab)*(ba)*|(ba)*(ab)*,"positive example:[babaabab, ababbaba],negative example:[a,baabba,abbaab]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011),"positive example:[00010, 100110, 100011, 1101, 10110, 10011, 111, 101010, 01000, 10, 101111, 0100, 0001, 11111, 1000, 00100, 00001, 10101, 11010, 10000, 100, 001, 0010, 01101, 01, 01011, 101100, 101001, 01110, 0111, 010, 1011, 1110, 11001, 11100, 100101, 00111, 1],negative example:[0]"
(a|baa)*,"a?ba{2,}","positive example:[baa, baaa], negative example:[ba, aabaa]"
(a|b)*baa(a|b)*b,a*b*baaa*bb*(a*bb*)*,"positive example:[baab, abaab, aabbbaaaababab], negative example:[b,baa]"
(a|b)(a|b)+aaa+,[ab][ab][ab][ab]*aaa,"positive example:[babaaaaa, ababaaaa, aaaaaa],negative example:[abab, baba, aabbaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1(1|0)*1|0(1|0)*0,"positive example:[00, 11, 0100, 1101],negative example:[1]"
(0|10*1)*,(0*10*1)*|0*,"positive example:[00, 0, 0101, 1111], negative example:[1]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0+|1+|0+(1+0+)+|1+(0+1+)+,"positive example:[0, 10101, 101, 11, 00, 01010, 010, 1],negative example:[01, ,10]"
(a|baa)*,(b(aa)+a*)*,"positive example:[, baaabaa], negative example:[ba, aaa, baaaab]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010),"positive example:[1101, 111, 100, 001, 0010, 01, 10, 0001, 010, 1000, 11111, 1011, 1110, 1],negative example:[0]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001),"positive example:[00010, 1101, 10011, 10110, 111, 01000, 10, 0100, 0001, 11111, 1000, 00100, 00001, 10101, 10000, 11010, 100, 001, 0010, 01101, 01, 01011, 101001, 01110, 0111, 010, 1110, 1011, 11100, 11001, 00111, 1],negative example:[0]"
(a|b)*baa(a|b)*b,(b|a)(baa)+b,"positive example:[abaab, bbaabaab],negative example:[ab]"
0(0|1)*0,0(0|0)*0,"positive example:[00, 0000], negative example:[010]"
(a|b)(a|b)+aaa+,(aa|ab|bb|ab)(a*|b*)aaaa*,"positive example:[bbbaaa, aabbaaaaa],negative example:[aaaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01)*0,"positive example:[0, 01010],negative example:[1, 0101]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011),"positive example:[100, 111, 001, 01, 10, 010, 1110, 1011, 11111, 1],negative example:[0]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(1*0*)*0)|(1(1*0*)*1),"positive example:[010, 1011, 111, 0010],negative example:[1,0]"
(a*ba*b)*a*ba*,a*b(a*(ba*b)*(bb)a*)*,"positive example:[bbbabb, aabbba, b],negative example:[bbba, aaab, abab]"
0*(10*1)*0*,0*(10*1)*,"positive example:[, 1111, 00101],negative example:[11011]"
(0*10*10*)*|0*,(0*(11)*)*|(10*1)*|(0*(11)*)*,"positive example:[10111, 101], negative example:[1]"
(a|baa)*,a*|a*baa+,"positive example: [, aa, baaa, aabaa], negative example: [b, ba]"
(a|baa)*,(baaa*)*,"positive example:[, baabaa, baa, baaa, baaabaaa], negative example:[a, b, aba, baba, baaab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1(0|1)*1)|(0(0|1)*0)?,"positive example:[11, 1101, 1011, 101, 0010], negative example:[1]"
0*10*(10*10*)*,0*(11)*0*1(11)*0*(11)*0*|0*1(11)*0*(11)*0*(11)*0*|0*(11)*0*(11)*0*1(11)*0*|0*1(11)*0*1(11)*0*1(11)*0*,"positive example: [00110011110011111, 1111100111110011111, 1001111001100, 001010100, 11110110100, 00110011111011, 11110100111100, 001111101101111], negative example: [0,10110110110,1101101101]"
0*10*(10*10*)*,10*(10*10*)*,"positive example:[10, 1001111, 1],negative example:[1111]"
(a|b)(a|b)+aaa+,(ab){2}(ab)*aaaa*,"positive example:[ababaaaaa, ababababaaaa, ababaaa], negative example:[abaaa]"
(a*ba*b)*a*ba*,(a*)(bb)*(b),"positive example:[aabbbbb, b], negative example:[bbabbb]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b(a(a|b)a*b)*a)?,"positive example:[abaaaba, , bbaaba],negative example:[a, b, abab]"
((a|b)a*ba)*(((a|b)a*b)?),(a|b)a*b,"positive example:[bb, aaab], negative example:[a, b, ab, ba, aaa, bbb]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100),"positive example:[10, 11111, 111, 100, 1110, 01, 1],negative example:[0]"
(0|1)(0|1)*,(0|1)(0|1),"positive example:[11, 00, 01, 10], negative example:[0, 1, 111, 000, 0110]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011),"positive example:[000111, 00010, 100011, 111000, 10011, 111, 010011, 0001, 111101, 00100, 011100, 000010, 000100, 110100, 10101, 111011, 10000, 11010, 100, 010101, 001011, 01, 101001, 01110, 010, 1011, 11100, 00111, 100110, 110111, 1101, 10110, 010110, 001000, 101010, 01000, 10, 001101, 101111, 0100, 1000, 11111, 110010, 00001, 011001, 011010, 000001, 100000, 110001, 001, 111110, 0010, 001110, 01101, 01011, 101100, 0111, 1110, 11001, 100101, 011111, 1],negative example:[0]"
(a|baa)*,a*((b)(aa))*,"positive example:[, aabaabaa], negative example:[baaabaa]"
0*10*(10*10*)*,(0*1(11)*0*),"positive example:[0011111, 010, 100],negative example:[10110]"
(a|b)*baa(a|b)*b,(b|a)*baab*(b|a)b,"positive example:[baaab, bbaabbab, abbaabb],negative example:[ab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01*0)*|(10*1)*,"positive example:[010, 1111, 0000],negative example:[111,0]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+(1*0)*0*)|(1+(0*1)*1*),"positive example:[0, 01010, 10101, 010, 101, 1],negative example:[01,10]"
(a*ba*b)*a*ba*,a*(bb)*b,"positive example:[aabbbbb, b], negative example:[bbabbb]"
(0*10*10*)*|0*,0*|(0*(11)*)*|(10*1)*|(0*(11)*)*,"positive example: [100111, 101], negative example: [1]"
(0*10*10*)*|0*,(11)*|0*(11)*|(11)*0*|0*|(10*1)*|(1010)*,"positive example:[10101010, 100111, 111100, 101, 001111],negative example:[11011,1,0110]"
(a|b)(a|b)+aaa+,((a|b)(a|b))aaa,"positive example:[abaaa, baaaa], negative example:[aaaaa, bbaaa]"
(a|(b*bb))*,(a|bb)*(bb)*(bbb)*(a|bb)*(bbb)*(bb)*(a)*,"positive example:[, abbabbbabbabbbaa], negative example:[bbbabbbabbbbbba]"
(a|(b*bb))*,(a*((bb)*|(bbb)*)*a*)a*,"positive example:[aabbbbb, bbbbb], negative example:[bbabb]"
(a|b)*(bab)(a|b)*,a+b(a+b)*bab(a+b)*,"positive example:[aababbab, abababbababab, abbab],negative example:[bbab,bbabbab]"
(a|(b*bb))*,(a*(bb+bbb)*a*)*a*,"positive example: [bbbbbabbbbbb], negative example: [bbbbbabbbbbba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+)(0*1*)(0+)|(1+)(0*1*)(1+)|0|1)?,"positive example:[0, 010, 1001, 1],negative example:[01010,10101]"
(a|(b*bb))*,(a*bb*ba*)*,"positive example:[, bbabb], negative example:[b]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0(0|1)*0)|(1(0|1)*1))?,"positive example:[1011,0010],negative example:[0,0011]"
(a|(b*bb))*,(a?bba?),"positive example: [bba, bb, abba, a], negative example: [aabb, bbaa]"
(a|baa)*,(b(aa+))*,"positive example: [, baa, baaabaa], negative example: [b, a, baaaab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*1+0+)*|1(1*0+1+)*)?,"positive example:[0, 1101, 101, 0010, 1], negative example:[00]"
(a|b)(a|b)+aaa+,(a|b)(a|b)a*b*aaa,"positive example:[bbaaaaa, aabbaaa, aaaaaa], negative example:[abab, bba, aabbb, bbaab]"
(a|b)*baa(a|b)*b,(a*b*|b*a*)*(baa)a*b+,"positive example:[baab, ababaaaabb], negative example:[baabab,baa]"
(b|(a*aa))*,(b*aa+|aa+b*|b*),"positive example:[bbaa, baaa, aaab, , bb, aabb], negative example:[a]"
(a|baa)*,"(a)*ba{2,}(a)*ba{2,}|a*","positive example:[baabaaa, , aa, aabaabaa],negative example:[baaba,babaa,b]"
(1|01)*(0?),(0?)((1+)(0|01))*,"positive example:[0, 10101],negative example:[00,11]"
(a|b)(a|b)+aaa+,[ab][ab]aaa,"positive example:[bbaaa, aaaaa], negative example:[abaa, bbaa, aaa, bbbbb]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(((01*)*(010)(1*0)*)|((10*)*(101)(0*1)*)|0+|1+)?,"positive example:[0, 11011, 0010, 1],negative example:[01,10]"
a(a|b)a(a|b)*,(aaa+aba)(a+b)*,"positive example:[aaaabaabab, aaaaabaab, aaaaaba], negative example:[aaaba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(11*0*11*)*|(00*1*00*)*,"positive example:[010010, 101101, 0100, 101],negative example:[1,01010,10101]"
(ab|ba)*,(ba)*(ab)*(ba)*(ab)*,"positive example:[, babaabbaabab, ababbaba], negative example:[abbaabba]"
(a|b)*baa(a|b)*b,a*bab*aaa*(b|a)*b,"positive example:[aabaaab, babbaab, ababbaabab],negative example:[bab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((1(0|1)*1)|(0(0|1)*0))?,"positive example:[1011, 0010], negative example:[1, 0011]"
(0|1)(0|1)*,(0|1)|(01*),"positive example:[011, 01, 1], negative example:[00, 10, 111]"
(a|b)(a|b)+aaa+,(a|b)(a+|b+)(aaa+),"positive example:[aaaaa, baaaa, abaaaa, abbaaa],negative example:[aaaa]"
0(0|1)*0,(0+1+)(0|1)*(1+0+),"positive example:[001001010, 01100],negative example:[011,010,110]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110),"positive example:[00010, 1101, 10110, 10011, 111, 10, 0100, 0001, 11111, 1000, 00100, 00001, 10101, 11010, 10000, 100, 001, 0010, 01101, 01, 01110, 0111, 010, 1110, 1011, 11001, 11100, 00111, 1],negative example:[0]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111),"positive example:[00010, 1101, 10110, 10011, 111, 101010, 01000, 10, 101111, 0100, 0001, 11111, 1000, 00100, 00001, 10101, 11010, 10000, 100, 001, 0010, 01101, 01, 01011, 101001, 01110, 0111, 010, 1011, 1110, 11001, 11100, 00111, 1],negative example:[0]"
(a|(b*bb))*,(a+(bb))*,"positive example:["""", ""a"", ""aa"", ""abb"", ""aabb"", ""abba"", ""abbabb""], negative example:[""b"", ""bb"", ""ba"", ""ab"", ""bab"", ""bba"", ""abab""]"
(a|(b*bb))*,a*(bb)*a*,"positive example:[aabbbbaa, ],negative example:[bbabba]"
(a|b)*(bab)(a|b)*,(bab)(a|b)*,"positive example:[bab, babab], negative example:[b]"
(a*ba*b)*a*ba*,(ba*a*)(ba*a*b)*,"positive example:[bbbbb, b], negative example:[bbbabb]"
(a|b)(a|b)+aaa+,((a|b)(a|b))(a*)(b*)aaa,"positive example:[bbbaaa, aaaabbaaa, aaaaaa],negative example:[abab, bba, aabbb]"
1*(01*01*01*01*)*,1*00001*,"positive example:[100001, 110000, 000011], negative example:[0000, 11111, 10000]"
0*10*(10*10*)*,(0*(10*1)*0*10*)|(0*1(10*1)*0*(10*1)*0*),"positive example:[1010111, 10011011, 110111, 001011010100, 101101001, 00110011100111100],negative example:[11010110110,0]"
(a*ba*b)*a*ba*,a*ba*|b,"positive example:[baa, aab], negative example:[a]"
b*a*,[b]*|[a]*,"positive example: [bb, aa, b, a, bbb, aaa, """"], negative example: [ba, ab, bba, aab, bab, aba]"
(b|(a*aa))*,(aa)*,"positive example:[, aa, aaaa], negative example:[a, aaa, aaaaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*(100*11*)*|0*(011*00*)*|(01)*0|(10)*1,"positive example: [10101, 111001, 11, 00, 101101, 01010, 010010, 000110], negative example: [0010, 1101, 0100, 1010, 0001, 1110, 0110, 1001]"
(a|b)*baa(a|b)*b,a*(baa+)+b,"positive example:[aabaab, baabaab, abaab], negative example:[b]"
(a*ba*b)*a*ba*,ba*|a*b,"positive example:[baa, ba, aab],negative example:[a]"
(a|b)(a|b)+aaa+,"ab{2,}a{3,}","positive example:[abbbaaa, abbaaaa], negative example:[abbaa, abaaa]"
(0*10*10*)*|0*,(0*(10*1)*)|(0*),"positive example:[1111, 00101],negative example:[11011,1]"
(0|1)(0|1)*,(0|1),"positive example: [0, 1], negative example: [00, 11, 01, 10, 2, a, b]"
0*10*(10*10*)*,((0*)1(0*)),"positive example:[010, 00100, 1],negative example:[000, 0110, 10]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1+(0*1*)*1+|0+(0*1*)*0+,"positive example:[01010, 10101, 101],negative example:[1,0]"
(a|b)(a|b)+aaa+,(aa+|bb+|ab+|ba+)+aaa,"positive example:[abaaa, bbaaaaa, baaaa, aababbabaaa], negative example:[aabaaa, aaa]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(00|01|10|11)|(000),"positive example:[11, 00, 10, 000, 01],negative example:[0]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)(a(a|b)a*b))?,"positive example:[bbaab, aabaab],negative example:[aabaaababaab]"
(a*ba*b)*a*ba*,(a)*b(a)*bb(a)*,"positive example:[bbb, aabaabb, ababbaa], negative example:[aa, ab, bba]"
(a*ba*b)*a*ba*,(a*ba*ba*)*(ba|ab|b),"positive example:[bbbbb, ab, ba],negative example:[bba]"
(a*ba*b)*a*ba*,a*(a*ba*(ba*b)*)a*,"positive example:[baabbbbaa, b], negative example:[bbbabba]"
0(0|1)*0,0+((10)*|(01)*)0+,"positive example:[0001010, 0101000],negative example:[010,0010010]"
(a*ba*b)*a*ba*,a*b((bb)*a*)*,"positive example:[aab, babb, ab], negative example:[aa, bba, aba]"
(a|(b*bb))*,(a*(b*bb))*,"positive example:[, bb, abb, aabbb, bbaaabb], negative example:[a, b, ab, baba, aaab]"
(a|(b*bb))*,(a)*(bb)*(a)*(bb)*,"positive example:[, aabbbbaabbbb],negative example:[bbabbabb]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(1*0*)*0|1(1*0*)*1)?,"positive example:[11, 000, 010],negative example:[1, 0, 0011]"
(a*ba*b)*a*ba*,a*ba*(b(a*)b)*a*,"positive example:[baabaabbb, aabbabaa, b], negative example:[babababba]"
(ab|ba)*,(ab)*(ba)*(ab)*(ba)*,"positive example:[, ababbabaababbaba], negative example:[baabbaabba]"
(a|(b*bb))*,a*(bb)*(a)*,"positive example:[aabbbbaa, ],negative example:[bbabba]"
(a|baa)*,a*|(baa+),"positive example:[, baa, aa, baaa],negative example:[b, ba]"
(a|(b*bb))*,(a?)*(bb|bbb)*(a)*(bb|bbb)*(a?)*,"positive example:[, aabbbbbaabbbbbaa], negative example:[bbabbabb]"
(0*10*10*)*|0*,0*(10*1)+,"positive example:[11, 011, 001111],negative example:[11011]"
(a|(b*bb))*,(abba)*,"positive example:[, abba, abbaabba], negative example:[a, abb, abbaa, b]"
(b|(a*aa))*,b*aa*ab*|b*,"positive example:[bbaaa, , bb, aabb, aaaa],negative example:[a]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010),"positive example:[00010, 1101, 10011, 10110, 111, 101010, 01000, 10, 0100, 0001, 11111, 1000, 00100, 00001, 10101, 11010, 10000, 100, 001, 0010, 01101, 01, 01011, 101001, 01110, 0111, 010, 1110, 1011, 11001, 11100, 00111, 1],negative example:[0]"
(0*10*10*)*|0*,(0*110*)+,"positive example:[0110, 0110110, 110, 000110000], negative example:[010, 1001, 111, 0000]"
((a|b)a*ba)*(((a|b)a*b)?),(a|b)a*b(a(a|b)a*b)*(a?)?,"positive example:[aababb, ab, baabaaab, abaabaab],negative example:[abaa]"
